tile_id,if1_center_hz,bw_hz,rf_center_hz,lo1_hz,lo1_mode,lo1_vco_div,lo1_drive_dbm,lo1_pad_db,lo1_side,lo2_hz,lo2_mode,lo2_vco_div,lo2_drive_dbm,lo2_pad_db,lo2_side,spur_margin_db,margin,brittleness_db_per_step,lock_time_ms_tile,if2_center_hz,if2_bw_hz,if2_model_type,rf_bpf_id,desired_stage1_tuple,desired_stage2_tuple,notes
0,1150000000.0,400000000.0,27500000000.0,6300000000.0,fracN,1,1.0,0.0,low,20050000000.0,fracN,1,14.0,0.0,low,4.699999988079071,4.699999988079071,0.0,0.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
1,1150000000.0,400000000.0,27600000000.0,6300000000.0,fracN,1,1.0,0.0,low,20150000000.0,fracN,1,14.0,0.0,low,4.750340580940247,4.750340580940247,0.003000020980834961,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
2,1150000000.0,400000000.0,27700000000.0,6300000000.0,fracN,1,1.0,0.0,low,20250000000.0,fracN,1,14.0,0.0,low,4.800000011920929,4.800000011920929,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
3,1150000000.0,400000000.0,27800000000.0,6300000000.0,fracN,1,1.0,0.0,low,20350000000.0,fracN,1,14.0,0.0,low,4.949652791023254,4.949652791023254,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
4,1150000000.0,400000000.0,27900000000.0,6300000000.0,fracN,1,1.0,0.0,low,20450000000.0,fracN,1,14.0,0.0,low,5.448948383331299,5.448948383331299,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
5,1150000000.0,400000000.0,28000000000.0,6300000000.0,fracN,1,1.0,0.0,low,20550000000.0,fracN,1,14.0,0.0,low,9.790091037750244,9.790091037750244,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
6,1150000000.0,400000000.0,28100000000.0,6300000000.0,fracN,1,1.0,0.0,low,20650000000.0,fracN,1,14.0,0.0,low,19.0,19.0,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
7,1150000000.0,400000000.0,28200000000.0,6300000000.0,fracN,1,1.0,0.0,low,20750000000.0,fracN,1,14.0,0.0,low,16.210935592651367,16.210935592651367,0.07570457458496094,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
8,1150000000.0,400000000.0,28300000000.0,6300000000.0,fracN,1,1.0,0.0,low,20850000000.0,fracN,1,14.0,0.0,low,8.411911010742188,8.411911010742188,0.07489299774169922,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
9,1150000000.0,400000000.0,28400000000.0,6300000000.0,fracN,1,1.0,0.0,low,20950000000.0,fracN,1,14.0,0.0,low,2.606299877166748,2.606299877166748,0.024999618530273438,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
10,1150000000.0,400000000.0,28500000000.0,6300000000.0,fracN,1,1.0,0.0,low,21050000000.0,fracN,1,14.0,0.0,low,1.3006044626235962,1.3006044626235962,0.003999948501586914,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
11,1150000000.0,400000000.0,28600000000.0,6300000000.0,fracN,1,1.0,0.0,low,21150000000.0,fracN,1,14.0,0.0,low,1.0003044605255127,1.0003044605255127,0.001999974250793457,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
12,1150000000.0,400000000.0,28700000000.0,6300000000.0,fracN,1,1.0,0.0,low,21250000000.0,fracN,1,14.0,0.0,low,0.8003066778182983,0.8003066778182983,0.00030666589736938477,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
13,1150000000.0,400000000.0,28800000000.0,6300000000.0,fracN,1,1.0,0.0,low,21350000000.0,fracN,1,14.0,0.0,low,0.800000011920929,0.800000011920929,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
14,1150000000.0,400000000.0,28900000000.0,6300000000.0,fracN,1,1.0,0.0,low,21450000000.0,fracN,1,14.0,0.0,low,0.800000011920929,0.800000011920929,0.0016888976097106934,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
15,1150000000.0,400000000.0,29000000000.0,6300000000.0,fracN,1,1.0,0.0,low,21550000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
16,1150000000.0,400000000.0,29100000000.0,6300000000.0,fracN,1,1.0,0.0,low,21650000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
