Tile_ID,IF1_center_GHz,BW_MHz,RF_center_GHz,IF2_center_GHz,IF2_bw_MHz,LO1_GHz,LO2_GHz,Chain_Sense,Desired_S1_Formula,Desired_S2_Formula,IF1_Hz,IF1_GHz,IF1_harm_k,Source_Stage,Stage,Stage1_m,Stage1_n,Stage2_m,Stage2_n,Total_Order,Freq_GHz,Margin_dB,Level_dBm_equiv,Limit_dBc,Formula
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1570000000.0,1.57,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.96,-0.5,-59.5,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1580000000.0,1.58,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.94,-0.5,-59.5,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1560000000.0,1.56,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.98,-0.5,-59.5,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1550000000.0,1.55,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,29.0,-0.5,-59.5,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1600000000.0,1.6,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.9,-0.5,-59.5,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1640000000.0,1.64,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.82,-0.5,-59.5,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1620000000.0,1.62,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.86,-0.5,-59.5,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1610000000.0,1.61,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.88,-0.5,-59.5,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1630000000.0,1.63,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.84,-0.5,-59.5,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1590000000.0,1.59,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.92,-0.5,-59.5,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1650000000.0,1.65,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.8,-0.4994239807128906,-59.50057601928711,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
0,1.7,1500.0,28.25,7.25,1500.0,5.55,21.0,Sum-Sum,f_IF2_desired = f_LO1 + f_IF1,f_RF_desired  = f_LO2 + f_IF2,1660000000.0,1.66,1.0,"Leakage (S1->S2, IF1 k=1)",1+2,2,2,1,1,6,28.78,-0.45942437648773193,-59.54057562351227,-60.0,1*LO2 + 1*[2*LO1 - 2*IF1_k=1]
